,,,21.04319901E-6,-59.687499743E-6,,,,,21.04319901E-6,-23.74999970E-3,
,,,21.04359919E-6,-55.312499171E-6,,,,,21.04359919E-6,-22.18749933E-3,
,,,21.04399937E-6,-58.749999880E-6,,,,,21.04399937E-6,-23.59374985E-3,
,,,21.04439955E-6,-66.562497523E-6,,,,,21.04439955E-6,-23.43750000E-3,
,,,21.04479972E-6,-61.874998210E-6,,,,,21.04479972E-6,-22.65624888E-3,
,,,21.04519990E-6,-72.187496698E-6,,,,,21.04519990E-6,-24.84374866E-3,
,,,21.04560008E-6,-59.687499743E-6,,,,,21.04560008E-6,-24.21874925E-3,
,,,21.04600026E-6,-58.749999880E-6,,,,,21.04600026E-6,-23.12500030E-3,
,,,21.04640043E-6,-58.749999880E-6,,,,,21.04640043E-6,-22.49999903E-3,
,,,21.04680061E-6,-54.37499931E-6,,,,,21.04680061E-6,-23.12500030E-3,
,,,21.04719897E-6,-46.24999929E-6,,,,,21.04719897E-6,-22.34374918E-3,
,,,21.04759915E-6,-55.624997913E-6,,,,,21.04759915E-6,-24.68749881E-3,
,,,21.04799933E-6,-61.250000726E-6,,,,,21.04799933E-6,-24.37499911E-3,
,,,21.04839950E-6,-65.312495281E-6,,,,,21.04839950E-6,-23.90624955E-3,
,,,21.04879968E-6,-59.687499743E-6,,,,,21.04879968E-6,-22.49999903E-3,
,,,21.04919986E-6,-61.874998210E-6,,,,,21.04919986E-6,-22.03124948E-3,
,,,21.04960004E-6,-62.187500589E-6,,,,,21.04960004E-6,-24.06249940E-3,
,,,21.05000021E-6,-68.124994868E-6,,,,,21.05000021E-6,-24.37499911E-3,
,,,21.05040039E-6,-70.312496973E-6,,,,,21.05040039E-6,-23.43750000E-3,
,,,21.05080057E-6,-65.624997660E-6,,,,,21.05080057E-6,-22.49999903E-3,
,,,21.05119893E-6,-68.124994868E-6,,,,,21.05119893E-6,-23.43750000E-3,
,,,21.05159911E-6,-67.499997385E-6,,,,,21.05159911E-6,-24.53124896E-3,
,,,21.05199928E-6,-63.437495555E-6,,,,,21.05199928E-6,-24.37499911E-3,
,,,21.05239946E-6,-58.124998759E-6,,,,,21.05239946E-6,-23.12500030E-3,
,,,21.05279964E-6,-52.49999958E-6,,,,,21.05279964E-6,-22.18749933E-3,
,,,21.05319982E-6,-63.749997935E-6,,,,,21.05319982E-6,-24.84374866E-3,
,,,21.05359999E-6,-58.437497501E-6,,,,,21.05359999E-6,-24.53124896E-3,
,,,21.05400017E-6,-58.124998759E-6,,,,,21.05400017E-6,-22.81249873E-3,
,,,21.05440035E-6,-58.749999880E-6,,,,,21.05440035E-6,-21.71874978E-3,
,,,21.05480053E-6,-57.187498896E-6,,,,,21.05480053E-6,-23.43750000E-3,
,,,21.05519889E-6,-61.562495830E-6,,,,,21.05519889E-6,-24.68749881E-3,
,,,21.05559906E-6,-54.687498050E-6,,,,,21.05559906E-6,-22.03124948E-3,
,,,21.05599924E-6,-53.43749945E-6,,,,,21.05599924E-6,-23.74999970E-3,
